date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:25	123/123	U-----	200	untouched ('OK')	text/plain	date:Sun,%2026%20Jan%202025%2010:49:35%20GMT	http://www.kaminarizushi.jp/robots.txt		(from )
19:51:25	27371/27371	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202025%2010:51:29%20GMT	http://www.kaminarizushi.jp/	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/index.html	(from )
19:51:25	5302/5302	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://www.kaminarizushi.jp/)
19:51:25	3153/3153	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%224e99a55d216e622c9ed6b9708d8b8010%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	(from http://www.kaminarizushi.jp/)
19:51:26	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%223aee-54fae277d9a40%22	http://www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/images/favicon.ico	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/images/favicon.ico	(from http://www.kaminarizushi.jp/)
19:51:26	149676/149676	---M--	200	added ('OK')	text/css	etag:%22248ac-5404bd5f6cf00%22	http://www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/css/main.css	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/css/main.css	(from http://www.kaminarizushi.jp/)
19:51:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Jan%202025%2010:51:31%20GMT	http://s.w.org/	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/s.w.org/index.html	(from http://www.kaminarizushi.jp/)
19:51:27	22843/22843	---M--	200	added ('OK')	text/css	etag:%22593b-54fd8b6165380%22	http://www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/style.css	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/style.css	(from http://www.kaminarizushi.jp/)
19:51:28	97180/97180	---M--	200	added ('OK')	application/x-javascript	etag:%2217b9c-538bfeeceea00%22	http://www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/js/jquery-1.12.3.min.js	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/js/jquery-1.12.3.min.js	(from http://www.kaminarizushi.jp/)
19:51:29	35951/35951	---M--	200	added ('OK')	application/x-javascript	etag:%228c6f-538bfeeceea00%22	http://www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/js/bootstrap.min.js?ver=4.7.29	C:/Users/reasa/OneDrive/%e3%83%87%e3%82%b9%e3%82%af%e3%83%88%e3%83%83%e3%83%97/kaminari/www.kaminarizushi.jp/wp/wp-content/themes/wp_kaminari/js/bootstrap.min0155.js	(from http://www.kaminarizushi.jp/)
